S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
297,Jharkhand,Godda,"24.6805° N, 87.6297° E",56,4,157,507,184,946,0,78,498,150,17,354,2,186,93,0,0,0,0,94,44,91,801,1973
298,Jharkhand,Gumla,"22.9208° N, 84.4803° E",120,2,552,216,18,817,0,21,328,50,11,201,0,88,41,0,8,0,0,56,32,68,60,1001
299,Jharkhand,Hazaribagh,"23.9537° N, 85.3644° E",85,0,883,3186,64,2152,0,930,1054,318,38,786,0,830,385,0,0,0,0,176,87,175,2,3496
300,Jharkhand,Jamshedpur,"22.8085° N, 86.1964° E",89,8,236,4470,132,2534,0,234,1610,282,148,1103,0,910,455,0,0,0,0,0,100,100,53,3848
301,Jharkhand,Jamshedpur Railway,"22.8100° N, 86.1947° E",2,0,8,21,4,28,0,0,202,2,4,132,0,0,0,0,0,0,0,0,0,0,0,140
302,Jharkhand,Jamtara,"24.4268° N, 86.7706° E",28,1,153,366,58,393,0,83,162,54,15,185,0,41,19,0,0,0,0,32,25,41,26,590
303,Jharkhand,Khunti,"22.9803° N, 85.1989° E",61,0,42,21,8,228,0,0,248,36,13,159,0,123,41,0,0,0,0,230,5,120,92,549
304,Jharkhand,Koderma,"24.4637° N, 85.6172° E",25,0,190,978,86,724,0,381,304,41,10,264,2,110,56,0,23,0,0,74,41,101,20,1107
305,Jharkhand,Latehar,"24.0668° N, 83.9214° E",42,0,324,318,91,562,0,54,194,103,14,207,0,116,58,0,2,0,0,56,57,87,24,816
306,Jharkhand,Lohardagga,"23.4219° N, 84.4667° E",22,0,139,564,10,520,0,33,208,60,7,141,0,78,36,0,17,0,0,60,28,75,21,658
307,Jharkhand,Pakur,"24.3126° N, 87.5742° E",36,0,231,165,32,589,0,66,202,24,4,118,0,56,28,0,0,0,0,0,24,24,419,962
308,Jharkhand,Palamu,"23.4858° N, 84.1583° E",87,12,799,2118,375,1921,0,430,594,239,53,509,0,208,104,0,0,0,0,166,49,132,0,2491
309,Jharkhand,Ramgarh,"23.6069° N, 85.8656° E",28,0,484,498,22,592,0,32,394,72,25,324,0,200,100,0,0,0,0,116,17,75,30,988
310,Jharkhand,Ranchi,"23.3556° N, 85.3347° E",163,0,2226,3876,138,3702,0,225,3932,830,181,2623,0,644,259,0,31,0,0,86,138,212,467,6480
311,Jharkhand,Sahebganj,"25.2756° N, 87.6328° E",48,0,575,561,266,1016,0,324,318,82,14,268,0,138,69,0,0,0,0,50,89,114,350,1759
