S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
666,Tamil Nadu,Krishnagiri,"(12.32° N, 78.14° E)",66,1,1691,1849,22,1366,0,165,338,250,41,350,8,50,29,9,0,0,0,2408,173,1399,1150,4301
667,Tamil Nadu,Madurai,"(9.92° N, 78.14° E)",67,0,1701,1912,63,1444,0,471,772,399,153,753,2,200,101,14,0,0,0,2272,1017,2167,2316,6898
668,Tamil Nadu,Madurai City,"(9.92° N, 78.14° E)",35,0,546,1347,65,870,0,119,968,268,127,756,0,432,216,10,15,0,0,932,1055,1546,2882,6277
669,Tamil Nadu,Nagapattinam,"(10.77° N, 79.82° E)",46,0,724,2214,120,1214,0,113,290,189,30,281,0,86,36,0,5571,0,0,1608,9,6384,6185,14082
670,Tamil Nadu,Namakkal,"(11.22° N, 78.22° E)",41,0,1314,1833,62,1206,0,78,236,162,35,240,0,90,45,21,0,0,0,2642,16,1358,3247,6089
671,Tamil Nadu,Nilgiris,"(11.77° N, 76.72° E)",15,0,107,450,18,231,0,6,96,88,4,96,2,26,14,26,0,0,0,356,4,208,665,1208
672,Tamil Nadu,Perambalur,"(11.66° N, 78.72° E)",20,0,522,381,39,376,0,1482,258,183,36,266,0,28,11,1,9,0,0,694,134,491,1818,3660
673,Tamil Nadu,Pudukottai,"(10.67° N, 78.82° E)",30,0,1186,3834,118,1866,0,1113,564,204,44,435,2,80,34,77,5,0,0,2041,124,1238,5406,9474
674,Tamil Nadu,Ramnathapuram,"(9.27° N, 78.94° E)",56,9,1016,4652,46,2124,0,581,454,334,64,462,6,160,83,40,0,0,0,1578,248,1077,540,4436
675,Tamil Nadu,Railway Chennai,"(13.08° N, 80.27° E)",3,1,10,102,8,58,0,3,2238,1,47,1165,0,10,5,0,0,0,0,0,4,4,18,1246
676,Tamil Nadu,Railway Trichy,"(10.77° N, 79.82° E)",0,0,0,60,0,22,0,0,300,0,7,157,0,0,0,0,0,0,0,0,4,4,1,183
677,Tamil Nadu,Salem,"(11.77° N, 78.44° E)",51,1,1724,4221,142,2285,0,255,320,206,51,308,2,80,41,0,0,0,0,2726,26,1389,1343,5353
678,Tamil Nadu,Salem City,"(11.77° N, 78.44° E)",25,0,503,1074,34,850,0,92,604,191,66,495,2,94,45,0,0,0,0,1074,12,549,785,2599
679,Tamil Nadu,Sivagangai,"(9.42° N, 78.22° E)",42,2,1048,3903,46,1819,0,466,370,237,81,409,0,172,86,50,415,0,0,1282,55,1161,2067,5672
680,Tamil Nadu,Thanjavur,"(10.77° N, 79.44° E)",57,0,1400,5721,176,2722,0,1994,578,573,122,814,28,228,128,38,0,0,0,2880,338,1823,16763,23102
681,Tamil Nadu,Theni,"(10.12° N, 77.84° E)",36,0,759,3197,54,1486,0,417,272,190,20,268,2,180,81,17,0,0,0,1468,976,1727,5696,9407
682,Tamil Nadu,Thirunelveli,"(8.77° N, 77.84° E)",54,1,1117,4645,51,2259,0,72,430,419,26,515,0,71,34,22,59,0,0,1247,233,939,2344,6096
683,Tamil Nadu,Thirunelveli City,"(8.77° N, 77.84° E)",9,0,306,477,35,348,0,15,308,101,28,241,2,76,39,3,2,0,0,634,19,341,794,1760
684,Tamil Nadu,Thiruvallur,"(13.18° N, 80.27° E)",38,3,1051,2547,39,1381,0,166,296,253,119,393,0,300,141,8,109,0,0,2051,506,1718,82,3751
685,Tamil Nadu,Thiruvannamalai,"(12.32° N, 79.14° E)",36,11,1569,1711,29,1329,0,470,358,169,76,358,0,110,55,14,0,0,0,1942,297,1308,9774,12931
686,Tamil Nadu,Thiruvarur,"(10.52° N, 79.52° E)",28,0,541,1947,49,1014,0,57,162,260,39,312,2,37,18,2,657,0,0,918,23,1141,708,3151
687,Tamil Nadu,Thoothukudi,"(8.67° N, 78.14° E)",50,4,1346,3948,72,2095,0,397,630,449,63,700,0,234,103,53,8,0,0,1764,604,1547,1604,6158
688,Tamil Nadu,Tiruppur,"(11.37° N, 77.34° E)",41,0,1943,2017,16,1448,0,168,506,263,68,459,2,62,32,0,0,0,0,2875,27,1465,8842,12294
689,Tamil Nadu,Tiruppur City,"(11.37° N, 77.34° E)",20,0,456,1104,6,573,0,187,312,169,45,304,0,60,29,0,0,0,0,1000,145,647,6359,7991
690,Tamil Nadu,Trichy,"(10.77° N, 79.82° E)",46,0,1565,1866,66,1426,0,520,662,330,62,556,0,131,64,16,71,0,0,2112,343,1486,6029,9685
691,Tamil Nadu,Trichy City,"(10.77° N, 79.82° E)",17,0,465,1735,26,846,0,68,508,246,40,476,0,107,53,9,4,0,0,559,230,529,697,2604
692,Tamil Nadu,Vellore,"(12.84° N, 78.82° E)",26,4,753,883,18,667,0,306,314,128,47,274,6,101,40,26,56,0,0,1162,223,886,70,2050
693,Tamil Nadu,Villupuram,"(11.94° N, 79.52° E)",25,7,1626,3564,34,2030,0,611,484,266,68,449,0,276,138,10,78,0,0,3452,943,2855,14,5587
694,Tamil Nadu,Virudhunagar,"(9.18° N, 78.22° E)",46,3,1311,2340,34,1382,0,27,390,229,45,395,2,196,92,27,16,0,0,1726,80,986,769,3593
695,Tamil Nadu,Cyber Cell,"(13.08° N, 80.27° E)",0,0,0,0,0,0,0,3,0,0,0,0,0,12,4,0,0,0,0,0,1,1,0,6
696,Tamil Nadu,Other Units,"(11.1269° N,78.6569° E)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,Tamil Nadu,Chengalpattu,"(12.84° N, 79.94° E)",27,0,1401,2847,30,1520,0,114,310,156,61,290,4,4,4,0,2657,0,0,2324,75,3894,2350,8076
698,Tamil Nadu,Kallakurichi,"(11.22° N, 78.52° E)",29,1,822,1467,14,1008,0,612,228,141,35,218,2,52,26,124,1300,0,0,2835,158,3602,155,5166
699,Tamil Nadu,Ranipet,"(12.94° N, 78.72° E)",23,0,740,647,29,541,0,12,298,80,42,231,0,113,50,12,0,0,0,1188,4,610,2397,3822
700,Tamil Nadu,Tiruppattur,"(11.77° N, 78.82° E)",23,3,689,1233,22,843,0,165,266,118,29,224,6,62,34,35,0,0,0,982,38,564,1694,3346
701,Tamil Nadu,Tenkasi,"(9.09° N, 78.14° E)",48,0,760,3606,46,1600,0,922,372,310,15,380,0,123,58,29,9,0,0,1512,372,1168,968,4616
702,Telangana,Cyberabad Commissionerate,"(17.4667° N, 78.3333° E)",136,184,2839,6931,1179,7119,6,147,7844,1894,180,5457,4,15934,6121,0,1177,0,44,7192,3189,8006,425,25200
703,Telangana,Hyderabad Commissionerate,"(17.4167° N, 78.4500° E)",98,12,1171,5567,896,5328,0,181,4838,863,103,3379,12,12117,4679,2,1270,0,212,3966,2670,6137,190,17951
704,Telangana,Karimnagar Commissionerate,"(18.2167° N, 78.6500° E)",12,8,621,1914,311,1221,0,99,234,183,6,252,0,722,361,0,0,0,0,784,714,1106,708,3551
705,Telangana,Khammam Commissionerate,"(17.3167° N, 82.3500° E)",21,16,951,2782,334,2132,0,151,572,490,11,609,0,759,330,15,73,0,203,1059,1037,1858,698,5254
706,Telangana,Nizamabad Commissionerate,"(18.3167° N, 78.6500° E)",50,6,1061,2637,175,1583,0,107,958,393,6,705,0,544,269,0,95,0,119,692,739,1300,143,3946
707,Telangana,Rachakonda Commissionerate,"(17.4500° N, 78.5000° E)",88,22,2186,5916,1334,4991,0,273,3892,1566,113,3062,2,5702,2852,0,404,0,0,3978,3073,5466,2899,18356
708,Telangana,Ramagundam Commissionerate,"(17.2000° N, 80.9500° E)",32,16,923,3348,462,2267,0,81,740,411,8,614,2,1366,660,0,336,0,190,1008,1525,2555,86,5938
709,Telangana,Siddipet Commissionerate,"(18.2167° N, 78.2000° E)",18,3,967,2586,312,1582,0,3,1144,374,6,781,0,462,231,0,0,0,0,1020,1135,1645,485,4593
710,Telangana,Warangal Commissionerate,"(18.1500° N, 79.4500° E)",53,15,1453,5082,488,3388,0,145,936,412,32,717,2,1482,742,0,7,0,0,1498,582,1338,2298,7940
711,Telangana,Adilabad,"(19.3167° N, 78.2000° E)",14,12,434,927,108,710,0,79,146,105,6,133,0,210,99,0,7,0,109,244,201,439,25,1351
712,Telangana,Bhadradri Kothagudem,"(18.0500° N, 80.7500° E)",18,6,765,2096,335,1632,12,277,418,326,9,435,0,465,211,3,295,1,52,474,955,1543,315,3915
713,Telangana,Jagityal,"(18.4167° N, 78.7000° E)",29,8,702,2288,348,1525,0,58,332,242,11,318,0,707,344,0,0,0,0,404,345,547,1834,4411
714,Telangana,Jayashankar Bhupalpalli,"(18.4500° N, 78.5500° E)",14,3,178,939,161,612,0,15,64,54,3,69,0,198,97,2,0,0,0,220,154,266,612,1562
715,Telangana,Jogulamba Gadwal,"(17.0500° N, 78.7000° E)",20,1,368,1077,110,711,0,13,558,108,3,338,0,501,237,0,30,0,47,170,176,338,59,1604
716,Telangana,Kamareddy,"(18.0500° N, 78.4500° E)",42,11,833,2579,183,1428,0,95,624,375,12,538,2,570,233,0,111,0,46,592,645,1098,167,3430
717,Telangana,Kumaram Bheem Asifabad,"(18.5500° N, 78.0500° E)",18,7,254,722,110,598,0,26,130,57,0,97,2,536,268,0,21,0,168,182,169,449,72,1373
718,Telangana,Mahabubabad,"17.9833° N, 80.0167° E",21,8,512,1554,301,1195,0,306,130,139,1,147,0,358,179,0,25,0,40,290,423,633,29,2083
719,Telangana,Mahabubnagar,"17.1333° N, 77.9833° E",28,7,694,1536,249,1211,0,36,366,228,0,301,0,299,149,0,7,0,0,484,195,444,359,2281
720,Telangana,Medak,"18.0333° N, 78.2833° E",36,4,958,1509,143,1081,0,31,402,251,4,365,0,283,140,0,0,0,0,400,382,582,386,2464
721,Telangana,Nagarkurnool,"17.3833° N, 77.8500° E",25,4,628,1916,216,1184,0,14,214,123,2,178,0,310,146,0,0,0,0,364,286,468,479,2345
722,Telangana,Nalgonda,"17.0333° N, 79.2833° E",54,15,1151,2175,406,1763,0,97,380,258,9,344,0,976,488,37,120,0,0,704,914,1423,3385,7202
723,Telangana,Nirmal,"19.1167° N, 77.3500° E",15,17,494,1205,120,873,0,90,184,150,1,202,0,142,71,0,53,0,45,298,268,515,151,1723
724,Telangana,Rajanna Siricilla,"18.3833° N, 78.8500° E",14,1,369,1374,202,828,0,12,172,108,12,166,2,360,181,0,0,0,0,188,185,279,1512,2883
725,Telangana,Sangareddy,"17.8333° N, 78.0167° E",75,10,1280,1923,139,1373,0,6,680,406,11,563,4,683,266,0,0,0,41,732,155,562,578,3271
726,Telangana,Suryapet,"16.9833° N, 79.6167° E",30,8,802,2958,441,1897,0,132,488,180,5,366,0,708,354,0,127,0,10,516,691,1086,1166,4685
727,Telangana,Vikarabad,"17.6333° N, 78.0167° E",35,14,563,1672,164,1188,0,45,256,219,13,253,0,264,122,0,279,0,0,500,301,830,849,3096
728,Telangana,Wanaparthy,"17.4833° N, 78.3500° E",9,1,414,1029,61,583,0,7,310,72,0,205,0,180,90,0,26,0,0,268,83,243,172,1254
729,Telangana,Railway Police Secunderabad,"17.4667° N, 78.5000° E",1,0,1,3,22,13,0,0,868,0,6,440,0,10,5,0,0,0,0,0,2,2,19,478
730,Telangana,Mulug,"18.3167° N, 81.0500° E",6,6,239,555,38,482,0,81,56,44,1,58,0,112,56,0,27,0,0,138,158,254,174,932
731,Telangana,Narayanpet,"17.2500° N, 78.2500° E",14,3,256,717,38,505,0,9,98,52,1,80,0,203,100,0,0,0,0,108,133,187,272,1059
732,Tripura,Dhalai,"23.9667° N, 91.9167° E",18,0,80,309,14,233,0,30,34,19,2,34,0,24,12,0,4,0,0,40,51,75,0,324
733,Tripura,Gomati,"23.6167° N, 91.8500° E",14,1,88,438,27,273,0,63,88,21,7,70,0,18,9,0,0,0,0,82,73,114,94,536
734,Tripura,GRP,"23.5667° N, 91.8500° E",1,0,0,9,0,4,0,0,4,2,0,3,0,0,0,0,0,0,0,2,1,2,0,9
735,Tripura,Kowai,"23.9833° N, 91.9000° E",11,0,54,480,6,278,0,6,54,36,0,50,0,30,15,0,0,0,0,56,19,47,26,366
736,Tripura,North,"23.8667° N, 91.8167° E",13,1,86,306,18,254,0,48,70,46,3,71,0,32,16,0,0,0,0,50,38,63,71,436
737,Tripura,Sipahijala,"23.7333° N, 91.8167° E",16,1,97,501,8,281,0,81,56,25,3,48,2,32,17,0,0,0,0,84,78,120,28,482
738,Tripura,South,"23.5833° N, 91.8167° E",9,1,91,278,19,197,3,54,40,29,3,55,0,24,12,0,0,0,0,46,54,77,5,330
739,Tripura,Unakoti,"23.7167° N, 91.9500° E",15,0,56,411,30,284,0,15,34,17,6,38,0,46,23,0,0,0,0,36,67,85,36,415
740,Tripura,West,"23.7833° N, 91.8167° E",25,1,195,948,79,633,3,116,342,124,8,266,2,176,89,5,1,0,0,200,150,256,66,1235
741,Uttar Pradesh,Agra,"27.1756° N, 78.03° E",102,19,1766,6444,903,4355,0,472,3834,669,105,2667,8,1052,530,27,456,0,35,842,1129,2068,214,9211
742,Uttar Pradesh,Aligarh,"27.9000° N, 78.0800° E",109,48,1850,2070,1054,4457,0,939,2196,338,198,1991,0,1104,368,3,352,0,0,982,1837,2683,1414,9255
743,Uttar Pradesh,Prayagraj,"25.4358° N, 81.8463° E",113,33,3233,2589,849,3864,0,312,2698,834,57,2152,4,668,336,0,0,0,0,1816,5520,6428,95,12113
744,Uttar Pradesh,Ambedkar Nagar,"26.1444° N, 82.6718° E",32,14,525,1335,158,1215,0,184,438,116,6,396,0,180,90,5,16,0,3,212,590,720,760,2856
745,Uttar Pradesh,Amethi,"26.0800° N, 81.8500° E",32,12,613,7245,104,3029,0,159,424,110,20,363,0,168,84,0,0,0,0,198,220,319,0,3626
746,Uttar Pradesh,Amroha,"28.9144° N, 78.08° E",37,12,874,321,169,849,0,144,686,62,24,469,2,72,37,0,19,0,0,0,1063,1082,393,2698
747,Uttar Pradesh,Auraiya,"26.4800° N, 79.5300° E",32,19,705,792,205,1116,0,63,406,111,5,325,0,226,113,28,0,0,0,608,1089,1421,0,2703
748,Uttar Pradesh,Azamgarh,"26.0300° N, 83.1300° E",41,24,1180,1302,292,2162,0,462,792,222,23,718,0,254,127,0,49,0,0,452,317,592,1836,4778
749,Uttar Pradesh,Badaun,"27.8500° N, 78.58° E",62,24,1184,2523,315,2106,0,165,564,98,33,509,0,106,53,3,360,0,0,420,405,978,838,4116
750,Uttar Pradesh,Baghpat,"28.9300° N, 77.4300° E",54,6,391,741,113,1625,0,258,668,83,29,563,0,339,113,0,0,0,0,224,954,1066,904,3611
751,Uttar Pradesh,Bahraich,"27.5800° N, 81.6800° E",35,28,637,5328,330,3727,0,204,820,260,24,799,2,440,221,6,9,0,1,520,1760,2036,0,5822
752,Uttar Pradesh,Ballia,"25.7500° N, 84.1500° E",42,13,680,1167,152,1400,0,353,536,88,14,588,0,294,147,10,3,1,0,232,521,651,24,2396
753,Uttar Pradesh,Balrampur,"27.1300° N, 82.5000° E",17,12,309,456,161,844,0,42,160,56,4,176,0,188,94,0,2,0,0,134,635,704,17,1506
754,Uttar Pradesh,Banda,"25.4800° N, 80.2200° E",51,24,685,2331,235,1852,0,72,372,177,31,411,4,98,50,8,8,0,0,536,259,543,201,2644
755,Uttar Pradesh,Barabanki,"26.9500° N, 81.1700° E",65,20,1151,868,234,1570,0,84,384,133,15,437,2,226,114,1,9,0,0,596,3559,3867,0,5532
756,Uttar Pradesh,Bareilly,"28.3500° N, 79.4300° E",71,29,1507,1407,692,2891,0,333,1784,294,37,1316,4,672,338,0,0,0,0,1212,899,1505,3451,8457
757,Uttar Pradesh,Basti,"26.8000° N, 82.5000° E",28,11,746,336,244,1190,0,111,326,146,22,432,0,182,91,12,0,0,0,260,1249,1391,0,2595
758,Uttar Pradesh,Bijnor,"29.3300° N, 78.0800° E",38,24,1033,2004,162,1335,0,72,714,83,25,562,0,420,140,0,0,0,0,1134,1057,1624,280,3836
759,Uttar Pradesh,Bulandshahar,"28.3800° N, 78.0000° E",69,26,1575,8617,398,4309,0,552,2124,290,18,1572,8,674,341,38,1165,6,14,911,1141,2820,210,8929
760,Uttar Pradesh,Chandoli,"25.2500° N, 83.2500° E",24,11,380,708,117,625,0,53,348,104,11,363,0,105,44,1,14,0,0,136,807,890,204,1986
761,Uttar Pradesh,Chitrakoot,"25.1700° N, 81.8700° E",9,4,349,654,174,563,0,33,166,74,7,182,0,42,21,0,26,5,0,218,63,203,128,999
762,Uttar Pradesh,Deoria,"26.5000° N, 84.0800° E",20,13,817,2277,20,1199,0,675,198,76,1,196,0,262,104,0,0,0,0,1660,19,849,0,2466
763,Uttar Pradesh,Etah,"27.6000° N, 78.6800° E",27,31,1237,7068,284,3344,0,105,530,60,25,818,0,310,155,32,0,0,0,0,202,234,12,4192
764,Uttar Pradesh,Etawah,"27.0000° N, 79.0000° E",59,22,889,1809,183,1487,0,45,754,78,9,539,0,294,146,0,0,0,0,590,834,1129,15,3027
765,Uttar Pradesh,Ayodhya,"26.7742° N, 81.8800° E",52,17,851,523,305,1789,0,172,848,119,25,712,2,775,325,26,17,1,0,420,2748,3002,63,5132
766,Uttar Pradesh,Fatehgarh,"27.6200° N, 79.6200° E",53,9,538,636,95,981,0,90,334,94,61,275,0,230,115,0,0,0,0,654,157,484,1378,2952
767,Uttar Pradesh,Fatehpur,"26.0700° N, 80.7500° E",37,21,1232,1569,421,1788,0,306,502,194,15,548,0,188,76,5,211,0,0,510,475,946,426,3406
768,Uttar Pradesh,Firozabad,"27.1500° N, 78.3800° E",98,26,1356,1191,488,2928,0,558,1692,258,80,1479,2,774,259,0,307,1,0,746,749,1430,665,5720
769,Uttar Pradesh,GRP,"27.5721° N, 78.5016° E",13,3,10,54,85,179,0,6,5806,0,74,3191,0,40,16,0,0,0,0,0,3,3,344,3561
770,Uttar Pradesh,Gautambudh Nagar,"28.5355° N, 77.3878° E",80,20,1068,426,299,2334,0,375,4272,290,65,2792,6,873,407,0,4121,20,0,848,321,4886,3414,12675
771,Uttar Pradesh,Ghaziabad,"28.6667° N, 77.4167° E",80,17,1377,14192,452,6137,0,126,8266,539,131,6330,4,1336,528,26,4012,13,2,1052,1488,6067,246,18154
772,Uttar Pradesh,Ghazipur,"25.6000° N, 83.5800° E",48,26,673,1124,640,1405,0,256,696,184,20,703,4,238,121,24,103,0,0,224,2449,2688,608,5215
773,Uttar Pradesh,Gonda,"27.1300° N, 81.6800° E",19,22,774,1530,102,1473,0,81,268,68,5,205,2,172,87,0,0,0,0,754,63,440,858,2657
774,Uttar Pradesh,Gorakhpur,"26.7500° N, 83.3300° E",144,26,507,1251,540,2922,0,510,1804,370,74,1582,4,692,348,0,0,0,0,958,376,855,2784,7209
775,Uttar Pradesh,Hamirpur,"26.1200° N, 80.1700° E",24,5,414,1491,152,1012,0,132,224,117,8,268,0,74,37,0,33,0,0,318,396,588,218,2014
776,Uttar Pradesh,Hapur,"28.6700° N, 77.7500° E",51,4,133,2841,320,3142,0,327,1028,10,60,659,4,328,166,0,0,0,0,262,588,719,17,3424
777,Uttar Pradesh,Hardoi,"27.4000° N, 79.5800° E",66,40,2489,8412,398,4933,0,204,514,216,78,838,0,342,171,0,223,0,0,900,1134,1807,0,7033
778,Uttar Pradesh,Hathras,"27.6000° N, 78.0800° E",28,8,739,1368,338,1549,0,261,762,94,24,564,0,80,40,1,13,0,0,284,142,298,355,2440
779,Uttar Pradesh,Jalaun,"26.1300° N, 79.1700° E",29,10,666,351,170,896,0,69,372,80,14,390,0,152,76,4,38,1,1,290,826,1015,240,2277
780,Uttar Pradesh,Jaunpur,"25.7000° N, 82.6700° E",48,37,1119,6894,140,3370,0,171,868,183,45,879,2,206,98,32,13,5,0,414,793,1050,437,5436
781,Uttar Pradesh,Jhansi,"25.4700° N, 78.5700° E",35,19,1171,1667,196,1531,0,54,432,91,8,630,2,150,76,0,145,0,0,774,782,1314,516,3691
782,Uttar Pradesh,Kannauj,"27.0300° N, 79.9000° E",49,24,749,117,323,1666,0,129,366,62,17,364,0,152,76,0,0,0,0,452,447,673,1150,3151
783,Uttar Pradesh,Kanpur Dehat,"26.7300° N, 79.8700° E",41,13,678,1407,175,1721,3,9,314,87,5,303,0,252,126,29,204,0,0,660,1936,2499,369,4428
784,Uttar Pradesh,Kanpur Commissionarate,"26.4724° N, 80.3378° E",48,7,510,198,349,1120,0,24,1382,253,14,1336,6,592,299,0,0,0,2,1032,1605,2123,2977,7237
785,Uttar Pradesh,Kasganj,"28.0000° N, 78.6700° E",55,9,663,279,412,1575,0,153,406,88,8,290,0,124,62,0,0,0,0,308,133,287,1236,2799
786,Uttar Pradesh,Kaushambi,"25.8300° N, 81.4000° E",34,10,430,258,166,826,0,66,426,134,8,332,0,86,43,0,0,0,0,340,97,267,1375,2573
787,Uttar Pradesh,Khiri,"27.9700° N, 80.7700° E",62,28,731,1206,212,2208,0,138,568,110,9,406,0,290,145,0,82,0,0,362,314,577,2714,5218
788,Uttar Pradesh,Kushi Nagar,"26.7500° N, 83.4200° E",33,27,481,3714,343,2780,0,99,544,160,20,648,0,118,58,1,48,0,0,864,684,1165,0,3783
789,Uttar Pradesh,Lalitpur,"24.6700° N, 78.4300° E",17,5,315,671,141,574,0,27,130,85,9,208,0,81,27,0,12,0,0,222,431,554,263,1542
790,Uttar Pradesh,Lucknow Commissionarate,"26.8467° N, 80.9469° E",101,18,1581,3633,664,5410,0,213,3864,941,143,6287,0,3828,1914,1,591,1,0,1662,2771,4195,287,14175
791,Uttar Pradesh,Maharajganj,"27.0800° N, 83.9800° E",21,20,648,468,36,624,0,54,320,98,5,371,0,95,46,0,0,0,0,416,240,448,285,1606
792,Uttar Pradesh,Mahoba,"25.3000° N, 79.8200° E",19,6,463,882,145,796,0,42,164,73,11,171,0,64,32,7,7,0,0,236,244,376,8,1241
793,Uttar Pradesh,Mainpuri,"27.2200° N, 79.0000° E",61,17,1290,2601,193,2438,0,255,744,119,22,536,0,260,105,8,215,0,0,600,137,660,33,3240
794,Uttar Pradesh,Mathura,"27.4800° N, 77.6800° E",82,18,1794,1035,806,2465,0,924,3540,360,161,2503,0,798,266,49,0,0,0,870,617,1101,3113,8984
795,Uttar Pradesh,Mau,"25.9200° N, 83.5800° E",21,9,502,4176,128,2360,0,111,508,88,24,435,0,301,141,87,315,0,0,294,933,1482,12,3966
796,Uttar Pradesh,Meerut,"29.0000° N, 77.7000° E",113,10,1288,2361,468,3881,0,338,4380,394,81,3210,4,554,279,5,1549,2,2,995,2111,4168,108,9924
797,Uttar Pradesh,Mirzapur,"25.1800° N, 82.5800° E",25,23,779,618,93,781,0,66,290,80,1,339,0,80,40,18,17,0,0,272,339,510,311,1803
798,Uttar Pradesh,Moradabad,"28.8300° N, 78.7800° E",50,11,854,6711,572,3989,0,120,1958,178,28,1261,2,723,242,0,267,0,0,188,738,1099,0,5821
799,Uttar Pradesh,Muzaffarnagar,"29.4700° N, 77.7000° E",61,9,1020,5271,50,2494,0,183,822,98,32,1016,2,166,68,0,104,0,0,420,319,633,771,4646
800,Uttar Pradesh,Pilibhit,"28.6700° N, 80.1300° E",41,14,715,3765,281,2994,0,21,336,132,63,377,0,392,196,4,15,0,0,504,273,544,161,3403
801,Uttar Pradesh,Pratapgarh,"26.8500° N, 81.9000° E",69,22,1783,9906,357,5301,0,444,940,274,40,1047,0,333,160,69,155,0,0,1670,661,1720,29,7583
802,Uttar Pradesh,Raibareilly,"26.2500° N, 81.2500° E",39,24,1173,9318,182,4671,0,222,582,234,17,529,0,202,101,0,0,0,0,378,169,358,0,5018
803,Uttar Pradesh,Rampur,"28.8000° N, 78.5300° E",32,14,749,2358,141,1856,0,105,498,96,19,467,0,214,106,13,3,1,2,362,149,349,80,2402
804,Uttar Pradesh,Saharanpur,"29.9800° N, 77.5500° E",34,11,1267,975,288,1424,0,288,720,90,44,947,4,756,380,0,0,0,0,766,614,997,484,3806
805,Uttar Pradesh,Sambhal,"29.2200° N, 78.6000° E",48,25,893,2073,180,1747,3,153,656,74,27,572,0,223,104,46,190,0,0,232,664,1016,73,3157
806,Uttar Pradesh,Sant Kabirnagar,"26.7800° N, 83.1300° E",14,8,366,732,250,846,0,42,132,48,4,170,2,70,36,0,0,0,0,198,177,276,455,1534
807,Uttar Pradesh,Shahjahanpur,"27.8800° N, 79.9000° E",61,27,1195,3078,528,2255,0,1299,246,69,2,438,2,518,260,0,72,0,0,820,624,1106,873,4928
808,Uttar Pradesh,Shamli,"29.5500° N, 77.5500° E",35,9,251,714,251,786,0,234,516,101,23,552,0,198,99,12,57,0,0,184,202,363,238,1854
809,Uttar Pradesh,Shrawasti,"27.4800° N, 82.5300° E",22,9,280,662,153,857,0,39,100,30,5,128,0,202,101,1,2,0,0,80,434,477,14,1292
810,Uttar Pradesh,Sidharthnagar,"27.1200° N, 83.0300° E",15,13,455,36,143,648,0,33,202,36,2,163,0,122,61,0,0,0,0,154,3,80,523,1223
811,Uttar Pradesh,Sitapur,"27.5700° N, 80.7000° E",71,29,1038,11220,120,4960,0,132,556,122,14,488,0,310,155,0,0,0,0,428,257,471,0,5611
812,Uttar Pradesh,Sonbhadra,"24.6000° N, 83.2200° E",31,25,1187,2196,84,1601,0,12,384,86,11,344,2,134,68,0,21,0,0,0,123,144,78,1945
813,Uttar Pradesh,Bhadohi,"25.2300° N, 82.5800° E",17,10,325,797,117,925,0,15,302,82,19,325,0,132,66,8,1,0,0,0,412,421,82,1495
814,Uttar Pradesh,Sultanpur,"26.8500° N, 82.0800° E",58,19,939,8847,291,4705,0,279,940,275,48,836,0,402,194,62,8,2,0,455,941,1241,2,6267
815,Uttar Pradesh,Unnao,"26.5500° N, 80.5000° E",44,26,1476,7371,236,4135,0,117,648,191,36,566,2,251,96,53,78,0,0,682,666,1138,0,5296
816,Uttar Pradesh,Varanasi Commissionarate,"25.3272° N, 82.9786° E",26,7,244,6335,234,2786,0,147,1824,396,8,1563,0,1785,776,2,46,1,2,231,561,728,275,5720
817,Uttar Pradesh,Lucknow Grameen,"26.8500° N, 80.9000° E",22,5,34,654,88,679,0,0,60,66,4,151,0,58,29,0,0,0,0,0,71,71,0,634
818,Uttar Pradesh,Kanpur Outer,"26.4724° N, 80.3378° E",40,11,792,300,366,1175,0,63,386,82,2,285,0,76,38,0,0,0,0,682,449,790,748,2719
819,Uttar Pradesh,Vasanasi Dehat,"25.3272° N, 82.9786° E",31,10,513,5464,88,2405,3,144,524,173,12,494,0,361,173,22,16,0,0,264,216,386,286,3531
820,Uttarakhand,Almora,"(29.5833° N, 79.6167° E)",7,0,37,27,28,84,0,18,34,12,3,32,0,81,27,0,0,0,0,0,10,10,181,315
821,Uttarakhand,Bageshwar,"(29.8333° N, 79.7500° E)",6,7,7,0,30,42,0,0,18,8,3,16,0,0,0,0,0,0,0,0,6,6,0,60
822,Uttarakhand,Chamoli,"(30.5833° N, 79.7500° E)",5,0,14,9,6,19,0,18,22,16,0,21,0,42,21,0,0,0,0,0,24,24,15,104
